연도,월,버스정류장ARS번호,역명,00~06_승하차_승객수,06~11_승하차_승객수,11~14_승하차_승객수,14~17_승하차_승객수,17~21_승하차_승객수,21~24_승하차_승객수,X좌표,Y좌표
2020,08,23413,강남신동아파밀리에1단지강남신동아파밀리에1단지강남신동아파밀리에1단지강남신동아파밀리에1단지,655,1707,1249,1943,3920,1891,508.4013004,149.8614882
2020,08,23414,대왕초등학교대왕초등학교대왕초등학교,190,1091,628,925,1198,547,381.3205347,112.3943184
2020,08,23416,세곡동,108,519,264,590,797,235,127.1099503,37.46475524
2020,08,23417,광연자동차학원앞광연자동차학원앞광연자동차학원앞,30,622,366,465,475,88,381.34892879999995,112.39743261
2020,08,23418,삼일자동차학원.강남자동차검사소삼일자동차학원.강남자동차검사소삼일자동차학원.강남자동차검사소,86,926,840,1298,1663,158,381.3634116,112.40391261
2020,08,23419,삼일자동차학원.강남자동차검사소삼일자동차학원.강남자동차검사소삼일자동차학원.강남자동차검사소,207,1883,867,957,1205,212,381.36241920000003,112.40385126000001
2020,08,23420,광연자동차학원앞광연자동차학원앞광연자동차학원앞,170,923,665,712,745,81,381.3566841,112.40088759000001
2020,08,23421,세곡동세곡동세곡동,382,3009,851,895,1675,538,381.328581,112.394616
2020,08,23422,세곡동사거리세곡동사거리세곡동사거리,107,1642,790,903,1075,215,381.32550960000003,112.39707755999999
2020,08,23423,방죽마을방죽마을방죽마을방죽마을방죽마을,435,7448,2496,2455,2917,756,635.5360115,187.3618938
2020,08,23424,래미안포레아파트래미안포레아파트래미안포레아파트래미안포레아파트래미안포레아파트,579,13735,4795,4282,5009,1740,635.5318195,187.37667255000002
2020,08,23425,쟁골마을쟁골마을쟁골마을쟁골마을쟁골마을쟁골마을쟁골마을쟁골마을쟁골마을쟁골마을쟁골마을,459,5372,1739,1844,2671,759,1398.1545566999998,412.30187669000003
2020,08,23426,쟁골마을쟁골마을쟁골마을쟁골마을쟁골마을쟁골마을쟁골마을쟁골마을쟁골마을쟁골마을,312,2523,1431,1903,4347,1803,1271.0449389999999,374.8267121
2020,08,23427,래미안포레아파트래미안포레아파트래미안포레아파트래미안포레아파트래미안포레아파트,446,5083,3012,4813,12516,5617,635.5313550000001,187.37570375
2020,08,23428,방죽마을방죽마을,215,940,550,788,1924,724,254.2140776,74.94449492
2020,08,23429,압구정역3번출구압구정역3번출구압구정역3번출구압구정역3번출구압구정역3번출구,1601,15820,9638,12622,26843,9054,635.142497,187.63004955
2020,08,23430,국민은행압구정지점국민은행압구정지점국민은행압구정지점국민은행압구정지점국민은행압구정지점,953,14768,8261,10688,16770,5967,635.141843,187.61754295
2020,08,23431,언주역2번출구.차병원사거리언주역2번출구.차병원사거리언주역2번출구.차병원사거리언주역2번출구.차병원사거리,1079,19166,5870,6484,13612,5408,508.133718,150.03189168
2020,08,23432,영동고교앞영동고교앞영동고교앞영동고교앞영동고교앞,881,20300,7972,6878,9939,3618,635.198859,187.60737734999998
2020,08,23433,개포우성6차아파트개포우성6차아파트,24,1114,503,461,762,304,254.115596,74.95131206
2020,08,23434,은곡마을진입로은곡마을진입로은곡마을진입로은곡마을진입로은곡마을진입로은곡마을진입로,113,1261,408,551,970,360,762.5913822,224.79393204
2020,08,23435,탄천교탄천교탄천교,367,6349,3389,3451,5412,1347,381.2040174,112.50381093000001
2020,08,23436,우성아파트우성아파트우성아파트,519,4726,3349,4150,9788,5681,381.2047974,112.50354579
2020,08,23437,세곡푸르지오세곡푸르지오세곡푸르지오세곡푸르지오,342,3409,654,626,722,289,508.3799792,149.8600562
2020,08,23438,삼성역삼성역삼성역삼성역삼성역,1050,20475,6820,7275,12281,4274,635.3189015,187.53643755
2020,08,23439,세곡푸르지오세곡푸르지오세곡푸르지오세곡푸르지오,298,852,501,797,1878,928,508.3825608,149.86011308
2020,08,23442,세곡2지구3.4단지세곡2지구3.4단지세곡2지구3.4단지,306,5021,1959,2035,2469,704,381.32944799999996,112.43018472
2020,08,23444,개포시영아파트후문개포시영아파트후문개포시영아파트후문개포시영아파트후문개포시영아파트후문개포시영아파트후문,167,3486,1305,1726,2466,926,762.3231942,224.8836081
2020,08,23445,개포우성아파트개포우성아파트개포우성아파트,62,387,243,405,966,453,381.1737336,112.429788
2020,08,23446,래미안강남힐즈래미안강남힐즈래미안강남힐즈래미안강남힐즈래미안강남힐즈,415,6833,3878,4686,6143,1881,635.4860209999999,187.36545605
2020,08,23447,세곡중학교.세명초등학교세곡중학교.세명초등학교세곡중학교.세명초등학교세곡중학교.세명초등학교,896,7966,4696,6382,13083,5664,508.3667284,149.88135348
2020,08,23448,세곡중학교.세명초등학교세곡중학교.세명초등학교세곡중학교.세명초등학교세곡중학교.세명초등학교세곡중학교.세명초등학교,1659,18173,6423,6226,6712,2274,635.4617549999999,187.35166045
2020,08,23449,일원동한솔아파트일원동한솔아파트일원동한솔아파트일원동한솔아파트일원동한솔아파트일원동한솔아파트일원동한솔아파트일원동한솔아파트일원동한솔아파트,1288,7044,5413,6463,10972,6731,1143.7160202,337.34310651
2020,08,23450,시립수서청소년수련관시립수서청소년수련관시립수서청소년수련관시립수서청소년수련관시립수서청소년수련관시립수서청소년수련관시립수서청소년수련관시립수서청소년수련관시립수서청소년수련관시립수서청소년수련관,287,3088,1811,2083,3294,1546,1270.890799,374.8396273
2020,08,23453,포스코사거리포스코사거리,170,16314,2418,2285,3863,1087,254.1118956,75.01577048
2020,08,23454,대왕초등학교대왕초등학교대왕초등학교,162,2158,528,718,852,343,381.319965,112.39477524
2020,08,23456,그랑프리백화점그랑프리백화점그랑프리백화점그랑프리백화점그랑프리백화점그랑프리백화점,816,10216,5595,7212,16765,7012,762.3335934,224.94014141999997
2020,08,23457,개포중학교개포중학교개포중학교개포중학교개포중학교개포중학교개포중학교개포중학교,517,4706,3348,4449,9284,4387,1016.5082464,299.8408832
2020,08,23458,구룡마을구룡마을구룡마을구룡마을,73,485,226,192,318,78,508.2544848,149.91467
2020,08,23459,개포주공1단지아파트개포주공1단지아파트개포주공1단지아파트개포주공1단지아파트개포주공1단지아파트,25,158,87,118,279,95,635.2805015,187.3930949
2020,08,23462,영희초등학교영희초등학교,54,1481,1735,2207,3906,1664,254.1611326,74.98242836
2020,08,23463,못골마을.LH강남아이파크못골마을.LH강남아이파크못골마을.LH강남아이파크못골마을.LH강남아이파크,304,11185,3904,3973,7177,2916,508.4043256,149.89551252
2020,08,23464,못골마을못골마을못골마을못골마을못골마을,637,10408,5108,5242,9192,1637,635.509038,187.36982525
2020,08,23465,태화기독교사회복지관태화기독교사회복지관태화기독교사회복지관태화기독교사회복지관태화기독교사회복지관태화기독교사회복지관태화기독교사회복지관태화기독교사회복지관태화기독교사회복지관태화기독교사회복지관,549,5169,3116,3730,5008,2103,1270.933524,374.84520510000004
2020,08,23466,시립개포도서관시립개포도서관시립개포도서관시립개포도서관,238,2157,1428,2121,3258,1701,508.2543268,149.93399508
